epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.2142,1.08308,0.59756,1,0.96753,0.0002142,0.0002142,0.0002142
2,19.6686,0.77896,0.75915,1,0.87252,0.000392422,0.000392422,0.000392422
3,27.3437,0.59748,0.82165,1,0.77536,0.000526818,0.000526818,0.000526818
4,35.6053,0.4684,0.85823,1,0.74927,0.000501942,0.000501942,0.000501942
5,42.695,0.40776,0.89787,1,0.69957,0.000431256,0.000431256,0.000431256
6,51.9434,0.38576,0.90091,1,0.68624,0.00036057,0.00036057,0.00036057
7,58.5592,0.36146,0.90854,1,0.68032,0.000289884,0.000289884,0.000289884
8,68.5562,0.36236,0.92835,1,0.66675,0.000219198,0.000219198,0.000219198
9,74.958,0.32846,0.92073,1,0.66096,0.000148512,0.000148512,0.000148512
10,84.8468,0.29938,0.94512,1,0.65255,7.7826e-05,7.7826e-05,7.7826e-05
